Antecedent,Consequent,Support,Confidence,Lift
牛奶,尿布,0.5,0.7142857142857143,1.0204081632653061
尿布,牛奶,0.5,0.7142857142857143,1.0204081632653061
牛奶,面包,0.5,0.7142857142857143,1.0204081632653061
面包,牛奶,0.5,0.7142857142857143,1.0204081632653061
尿布,面包,0.5,0.7142857142857143,1.0204081632653061
面包,尿布,0.5,0.7142857142857143,1.0204081632653061
啤酒,尿布,0.4,0.8,1.142857142857143
黄油,面包,0.5,1.0,1.4285714285714286
面包,黄油,0.5,0.7142857142857143,1.4285714285714286
啤酒,牛奶,0.4,0.8,1.142857142857143
"啤酒, 面包",牛奶,0.2,1.0,1.4285714285714286
黄油,"尿布, 面包",0.3,0.6,1.2
"黄油, 尿布",面包,0.3,1.0,1.4285714285714286
"尿布, 面包",黄油,0.3,0.6,1.2
啤酒,"牛奶, 尿布",0.3,0.6,1.2
"啤酒, 尿布",牛奶,0.3,0.7499999999999999,1.0714285714285714
"啤酒, 牛奶",尿布,0.3,0.7499999999999999,1.0714285714285714
"牛奶, 尿布",啤酒,0.3,0.6,1.2
"啤酒, 面包",尿布,0.2,1.0,1.4285714285714286
黄油,"牛奶, 面包",0.3,0.6,1.2
"牛奶, 黄油",面包,0.3,1.0,1.4285714285714286
"牛奶, 面包",黄油,0.3,0.6,1.2
"牛奶, 尿布",面包,0.4,0.8,1.142857142857143
"牛奶, 面包",尿布,0.4,0.8,1.142857142857143
"尿布, 面包",牛奶,0.4,0.8,1.142857142857143
"啤酒, 面包","牛奶, 尿布",0.2,1.0,2.0
"啤酒, 尿布, 面包",牛奶,0.2,1.0,1.4285714285714286
"啤酒, 面包, 牛奶",尿布,0.2,1.0,1.4285714285714286
"牛奶, 黄油","尿布, 面包",0.2,0.6666666666666667,1.3333333333333335
"黄油, 尿布","牛奶, 面包",0.2,0.6666666666666667,1.3333333333333335
"牛奶, 黄油, 尿布",面包,0.2,1.0,1.4285714285714286
